大分類,分類,代碼,中文名稱,支付點數(115.09.01),常用別名/縮寫,常見申報提醒(非官方),支付規範摘要
手術,輸尿管手術,77026B,輸尿管鏡取石術及碎石術－單純內視鏡操作方式,5537,URS URSL ureteroscopic lithotripsy 輸尿管鏡碎石 pneumatic 氣動,【通則五】品項名稱未標示單側／雙側，也沒有對應的雙側代碼。依支付標準第七節手術通則五「同一手術野內之對稱器官，除有特殊規定者外，係指二側之手術費用」，本項表定點數已包含雙側，同次雙側施行仍以本碼申報一次，不得加倍申報；通則六的「主刀 100%＋次刀 50%」是用在同次施行『不同種』手術，不適用於單純左右對稱的同一種手術。,含鏡檢費用在內。
手術,輸尿管手術,77027B,輸尿管鏡取石術及碎石術－併用超音波或電擊方式,9259,URS URSL ultrasonic EHL 輸尿管鏡碎石,【通則五】同 77026B：未標示單側／雙側，依通則五屬對稱器官，表定點數已包含雙側費用，雙側施行仍申報一次，不得加倍。,含鏡檢費及超音波費用在內。
手術,輸尿管手術,77028B,輸尿管鏡取石術及碎石術－併用雷射治療方式,7446,URS URSL laser lithotripsy holmium 雷射碎石 RIRS 軟式輸尿管鏡,【通則五】同 77026B：未標示單側／雙側，依通則五屬對稱器官，表定點數已包含雙側費用，雙側施行仍申報一次，不得加倍。另可加計一般材料費及雷射光纖 91%（見上方支付規範）。,1.含鏡檢費用在內。2.77028B含一般材料費及雷射光纖，得另加計百分之九十一。
手術,輸尿管手術,77029B,腹式會陰尿道懸吊術,11680,,,
手術,輸尿管手術,77030B,腹腔鏡輸尿管取石術,7410,LUL laparoscopic ureterolithotomy 腹腔鏡輸尿管取石,,
手術,輸尿管手術,77031B,輸尿管膀胱波氏瓣接合術,12877,,,
手術,輸尿管手術,77032B,輸尿管迴腸經皮分流術(單側),12960,ileal conduit,,
手術,輸尿管手術,77033B,輸尿管迴腸經皮分流術(雙側),17040,ileal conduit bilateral,,
手術,輸尿管手術,77034B,經內視鏡輸尿管切開術,7922,endoureterotomy,,含內視鏡費。
手術,輸尿管手術,77035B,經尿道輸尿管憩室切開術,6440,,,
手術,輸尿管手術,77036B,腹腔鏡高位輸尿管皮膚吻合術(單側),9892,,,
手術,輸尿管手術,77037B,腹腔鏡高位輸尿管皮膚吻合術(雙側),12178,,,
手術,輸尿管手術,77038B,腹腔鏡輸尿管成形術－單側,15627,,,
手術,輸尿管手術,77039B,腹腔鏡輸尿管膀胱重建術－單側,22459,laparoscopic ureteral reimplantation,,
手術,輸尿管手術,77040B,腹腔鏡輸尿管膀胱重建術－雙側,26011,laparoscopic ureteral reimplantation bilateral,,
手術,輸尿管手術,N26032,達文西輸尿管膀胱手術,,robotic ureteral reimplantation 機械手臂,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,HTA評估項目
手術,輸尿管手術,N26033,達文西輸尿管取石術,,robotic ureterolithotomy 機械手臂,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,HTA評估項目
手術,膀胱手術,78001C,膀胱抽吸,500,bladder aspiration suprapubic,,
手術,膀胱手術,78002C,膀胱造口術,4956,cystostomy suprapubic cystostomy 恥骨上膀胱造口,,
手術,膀胱手術,78003C,膀胱造口術,3285,cystostomy suprapubic cystostomy 恥骨上膀胱造口,,
手術,膀胱手術,78004C,膀胱造口閉合,4760,,,
手術,膀胱手術,78005B,膀胱取石術,4523,cystolithotomy 膀胱結石 開刀,,
手術,膀胱手術,78006B,單純膀胱頸切開術,5170,,,
手術,膀胱手術,78007B,膀胱憩室之切除(單個或多發性者),6440,,,
手術,膀胱手術,78008C,膀胱腫瘤之切除－內視鏡下--含膀胱鏡檢,8027,TURBT TUR-BT TURBt 膀胱腫瘤 電切 bladder tumor,一般材料費及單次使用電燒切除環可另加計 71%，詳見上方支付規範。,1.申報費用應檢附膀胱鏡報告。2.一般材料費及單次使用電燒切除環，得另加計百分之七十一。。
手術,膀胱手術,78009B,膀胱腫瘤之切除－手術,6770,open bladder tumor excision,,
手術,膀胱手術,78010C,膀胱部分切除術,9670,partial cystectomy,,
手術,膀胱手術,78011B,膀胱全切除術,13799,radical cystectomy RC,,
手術,膀胱手術,78012B,膀胱全切除術合併原位新膀胱重建術,27464,radical cystectomy neobladder 新膀胱,,
手術,膀胱手術,78013B,膀胱全切除術合併骨盆腔淋巴切除術,21450,radical cystectomy PLND,,
手術,膀胱手術,78014B,膀胱全切除術及骨盆腔淋巴切除術合併原位新膀胱重建術,34992,radical cystectomy PLND neobladder,,
手術,膀胱手術,78015B,膀胱成形術或膀胱尿道成形術,8898,cystoplasty,,
手術,膀胱手術,78016B,膀胱尿道成形術併單側或雙側輸尿管膀胱吻合術,10800,,,
手術,膀胱手術,78017B,膀胱頸尿道前固定術或尿道固定術,5856,,,
手術,膀胱手術,78018B,膀胱縫合術,5470,cystorrhaphy,,
手術,膀胱手術,78019B,膀胱陰道廔管閉合術，由腹部開刀,11461,VVF vesicovaginal fistula,,
手術,膀胱手術,78020B,膀胱子宮廔管閉合術，包含子宮切除術,9408,,,
手術,膀胱手術,78021B,膀胱腸管成形術，包含腸吻合,13895,,,
手術,膀胱手術,78022C,皮膚膀胱造口術,7728,,,
手術,膀胱手術,78023C,膀胱尿道鏡伴有輸尿管切開術,3398,ureteral meatotomy ureterocele,,一般材料費及單次使用電燒切除環，得另加計百分之九十五。
手術,膀胱手術,78024C,膀胱尿道鏡及輸尿管取石,3568,cystoscopic ureteral stone removal,,
手術,膀胱手術,78025B,經尿道膀胱頸切開術,3900,TUIBN BNI bladder neck incision 膀胱頸切開,,
手術,膀胱手術,78026C,碎石取出術、簡單(在膀胱內壓碎並除去),4675,cystolitholapaxy 膀胱碎石 膀胱結石,,結石<一公分。
手術,膀胱手術,78027C,碎石洗出術複雜性或大結石,5437,cystolitholapaxy 膀胱碎石 膀胱結石 大結石,,結石>一公分。
手術,膀胱手術,78028B,腹式尿失禁手術,7427,incontinence surgery SUI 尿失禁,,本項102年支付標準調整按衛生福利部1031260015號函公告。
手術,膀胱手術,78029B,陰道式尿失禁手術(含Kellyplication),9116,Kelly plication SUI 尿失禁,,本項102年支付標準調整按衛生福利部1031260015號函公告。
手術,膀胱手術,78030B,Burch尿失禁手術,18806,Burch colposuspension SUI 尿失禁,,本項102年支付標準調整按衛生福利部1031260015號函公告。
手術,膀胱手術,78031C,間質性膀胱炎膀胱尿道鏡擴張術,2705,hydrodistension IC BPS 間質性膀胱炎 水擴張,,
手術,膀胱手術,78032C,膀胱憩室電燒,7760,,,
手術,膀胱手術,78033C,部份膀胱及膀胱憩室切除術,5800,,,
手術,膀胱手術,78034B,膀胱破裂修補術,9912,bladder rupture repair 膀胱破裂,,
手術,膀胱手術,78035B,小腸膀胱增大術,13763,augmentation cystoplasty enterocystoplasty 膀胱擴大,,
手術,膀胱手術,78036B,膀胱懸吊術,13206,bladder suspension sling SUI 尿失禁,,本項102年支付標準調整按衛生福利部1031260015號函公告。
手術,膀胱手術,78037B,KELLY手術,9289,Kelly SUI 尿失禁,,"1.已申報80007B(前側陰道縫合術)者,不得再申報此項。2.本項102年支付標準調整按衛生福利部1031260015號函公告。"
手術,膀胱手術,78038B,尿道人工擴約肌植入術,12352,AUS artificial urinary sphincter 人工括約肌,,
手術,膀胱手術,78039B,膀胱攝護腺根除術,18456,radical cystoprostatectomy RCP,,
手術,膀胱手術,78040B,膀胱全切除術合併尿道全切除術,18479,,,有(無)併攝護腺根除術之手術費用一致。
手術,膀胱手術,78041B,膀胱攝護腺根除術合併原位新膀胱重建術,28778,RCP neobladder,,
手術,膀胱手術,78042B,膀胱全切除術及尿道全切除術合併禁尿膀胱重建術,32647,,,有(無)併攝護腺根除術之手術費用一致。
手術,膀胱手術,78043B,膀胱攝護腺根除術合併骨盆腔淋巴切除術,19419,RCP PLND,,
手術,膀胱手術,78044B,膀胱全切除術及尿道全切除術合併骨盆腔淋巴切除術,27805,,,有(無)併攝護腺根除術之手術費用一致。
手術,膀胱手術,78045B,膀胱攝護腺根除術及骨盆腔淋巴切除術合併原位新膀胱重建術,35531,RCP PLND neobladder,,
手術,膀胱手術,78046B,膀胱全切除術及骨盆腔淋巴切除術及尿道全切除術合併禁尿膀胱重建術,60063,,,有(無)併攝護腺根除術之手術費用一致。
手術,膀胱手術,78047B,(後)腹腔鏡膀胱頸懸吊術,17198,laparoscopic bladder neck suspension,,本項102年支付標準調整按衛生福利部1031260015號函公告。
手術,膀胱手術,78048B,(後)腹腔鏡膀胱憩室切除術(單個或多發性者),9274,,,
手術,膀胱手術,78049C,膀胱腫瘤之切除－內視鏡下--含膀胱鏡檢及輸尿管鏡檢查,8886,TURBT URS 膀胱腫瘤 電切 輸尿管鏡,,1.申報費用應檢附膀胱鏡及輸尿管鏡檢查報告。2.一般材料費及單次使用電燒切除環，得另加計百分之六十九。
手術,膀胱手術,78050B,腹腔鏡膀胱全切除術合併骨盆腔淋巴切除術合併正位新膀胱重建,65785,LRC laparoscopic radical cystectomy neobladder 機械手臂 達文西 robotic,機械手臂輔助手術的醫師資格規定已於 115.09.01 生效版更新：不再是「訓練達二十小時」即可自行認定，而是須取得「機械手臂輔助手術系統」相關專科學會核發的認證醫師資格，且核發單位要檢附認證計畫書送保險人審核通過，執行醫師名單也須報請保險人核定。請確認貴院執行醫師是否已符合新規定，詳見上方支付規範。 ,執行「機械手臂輔助膀胱全切除術合併骨盆腔淋巴切除術合併正位新膀胱重建」，須符合下列規範：1.醫師資格：(1)具機械手臂輔助手術系統「泌尿科」認證學會認證醫師資格。(2)前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認證方式及認證培訓機構證明)予保險人審核通過。2.執行手術之醫師名單應報經保險人核定。3.其手術費按保險人規範之未列項申報方式辦理，比照本項申報，並於申報費用後二個月內應上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
手術,膀胱手術,78051B,腹腔鏡膀胱全切除術及骨盆腔淋巴切除術合併雙側輸尿管迴腸經皮分流術,65785,LRC laparoscopic radical cystectomy ileal conduit 機械手臂 達文西 robotic,機械手臂輔助手術的醫師資格規定已於 115.09.01 生效版更新：不再是「訓練達二十小時」即可自行認定，而是須取得「機械手臂輔助手術系統」相關專科學會核發的認證醫師資格，且核發單位要檢附認證計畫書送保險人審核通過，執行醫師名單也須報請保險人核定。請確認貴院執行醫師是否已符合新規定，詳見上方支付規範。 ,執行「機械手臂輔助膀胱全切除術及骨盆腔淋巴切除術合併雙側輸尿管迴腸經皮分流術」，須符合下列規範：1.醫師資格：(1)具機械手臂輔助手術系統「泌尿科」認證學會認證醫師資格。(2)前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認證方式及認證培訓機構證明)予保險人審核通過。2.執行手術之醫師名單應報經保險人核定。3.其手術費按保險人規範之未列項申報方式辦理，比照本項申報，並於申報費用後二個月內應上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
手術,膀胱手術,75813B,臍尿管或瘻管切除術與部分膀胱切除術,9373,urachal remnant 臍尿管,,
手術,膀胱手術,74215B,直腸膀胱瘻管切除術,17111,,,經腹腔做的直腸陰道瘻管(transabdominalclosureofrectovaginalfistula)比照辦理
手術,膀胱手術,73040B,迴腸尿液引流袋修正術,13815,ileal conduit revision stoma,,
手術,尿道手術,78201C,尿道結石(異物)除去術,4174,urethral stone 尿道結石,,
手術,尿道手術,78202B,尿道狹窄修補手術－前段尿道,6814,urethroplasty stricture 尿道狹窄 anterior,,
手術,尿道手術,78203B,尿道狹窄修補手術－後段尿道,8501,urethroplasty stricture 尿道狹窄 posterior,,
手術,尿道手術,78204B,尿道整形術－包括陰莖或陰囊轉換,10285,,,
手術,尿道手術,78205B,尿道整形術－重複,13658,,,
手術,尿道手術,78206C,外尿道口息肉切除術,2424,urethral caruncle polyp 尿道肉阜,,
手術,尿道手術,78207C,尿道造廔術,3835,urethrostomy perineal,,
手術,尿道手術,78208B,尿道憩室手術－前(後)部尿道,5262,urethral diverticulum,,
手術,尿道手術,78209C,尿道內切開術,3502,internal urethrotomy Otis 尿道狹窄,,
手術,尿道手術,78210C,直視下尿道切開術,4062,DVIU direct vision internal urethrotomy 尿道狹窄 切開,,
手術,尿道手術,78211B,尿道破裂手術－後段尿道,7348,,,
手術,尿道手術,78212B,尿道破裂手術－前段尿道,4334,,,
手術,尿道手術,78213B,尿道下裂手術－glandulartype,13416,hypospadias 尿道下裂,,
手術,尿道手術,78214B,尿道下裂手術－others,18473,hypospadias 尿道下裂,,
手術,尿道手術,78215B,經尿道前列腺切開術,6137,TUIP transurethral incision of prostate 攝護腺切開,,
手術,尿道手術,78216B,尿道腫瘤切除術,4888,,,
手術,尿道手術,78217B,修補尿道皮瘻術,5669,,,
手術,尿道手術,78218B,尿道瘻管修補術(後段),9638,,,
手術,尿道手術,78219B,雙側海棉體破裂修復術,7312,penile fracture 陰莖骨折,,
手術,尿道手術,78220B,尿道瘻管修補術(前段),6197,,,
手術,尿道手術,78221B,單側海棉體破裂修復術,3580,penile fracture 陰莖骨折,,
手術,尿道手術,78222B,尿道下裂重建術及陰莖痛性勃起矯正,27617,hypospadias chordee 尿道下裂,,
手術,尿道手術,78223B,尿道下裂第一次重建術,27617,hypospadias 尿道下裂,,
手術,尿道手術,78224B,全尿道切除術,8496,urethrectomy,,
手術,尿道手術,78225B,尿道周膿瘍切開引流術,2217,,,
手術,尿道手術,80022B,尿道陰道瘻管修補術,10899,urethrovaginal fistula,,
手術,尿道手術,80023B,膀胱陰道瘻管修補術,13078,VVF vesicovaginal fistula,,
手術,尿道手術,80035B,陰道式會陰尿道懸吊術,11680,sling TVT TOT midurethral sling 尿失禁 吊帶,,註：不得同時申報編號77029B及78030B。
手術,陰莖/陰囊手術,78401C,陰莖切片,2034,penile biopsy,,
手術,陰莖/陰囊手術,78402B,陰莖部份切除術,5622,partial penectomy 陰莖癌,,
手術,陰莖/陰囊手術,78403B,陰莖全部切除術,8578,total penectomy,,
手術,陰莖/陰囊手術,78404B,陰莖癌陰莖全部切除術,12463,,,
手術,陰莖/陰囊手術,78405B,陰莖癌陰莖部份切除合併鼠蹊淋巴切除術,13327,,,
手術,陰莖/陰囊手術,78406B,陰莖重度創傷修補術,7393,,,
手術,陰莖/陰囊手術,78407C,陰囊水腫切除術,5425,hydrocelectomy 陰囊水腫 hydrocele,,
手術,陰莖/陰囊手術,78408C,陰囊異物移除,3623,,,
手術,陰莖/陰囊手術,78409B,陰囊切除術,4065,scrotectomy,,
手術,陰莖/陰囊手術,78410B,芮斯比式治療陰莖彎曲術,5540,Nesbit Peyronie 陰莖彎曲 plication,,
手術,陰莖/陰囊手術,78411C,陰囊修補術,3074,,,
手術,陰莖/陰囊手術,78412C,陰囊膿瘍切開引流術,2201,scrotal abscess I&D,,
手術,陰莖/陰囊手術,78413B,陰莖癌陰莖全部切除合併會陰部尿道造口術,12136,,,
手術,陰莖/陰囊手術,78414B,陰莖癌陰莖全部切除合併鼠蹊淋巴切除術及會陰部尿道造口術,15412,,,
手術,睪丸/副睪手術,78601C,睪丸切片－單側切開,1810,testicular biopsy TESE 取精,,
手術,睪丸/副睪手術,78602C,睪丸切片－雙側切開,2904,testicular biopsy TESE 取精 雙側,,
手術,睪丸/副睪手術,78603C,睪丸切除術－單側,5163,orchiectomy 睪丸切除 去勢,,睪丸病灶切除(testiclelesionexcision)比照申報。
手術,睪丸/副睪手術,78604B,睪丸切除術－雙側,6175,bilateral orchiectomy castration 去勢 攝護腺癌,,睪丸病灶切除(testiclelesionexcision)比照申報。
手術,睪丸/副睪手術,78605C,睪丸固定術－單側,7613,orchiopexy 睪丸固定 torsion,,併或不併疝氣修補(withorwithoutherniarepair)。
手術,睪丸/副睪手術,78606C,睪丸固定術－雙側,11722,orchiopexy bilateral,,併或不併疝氣修補(withorwithoutherniarepair)。
手術,睪丸/副睪手術,78607C,隱睪單側睪丸固定術,13522,orchiopexy cryptorchidism 隱睪 UDT,,隱睪切除術比照申報。
手術,睪丸/副睪手術,78608C,睪丸受傷之縫合或修補,4581,,,
手術,睪丸/副睪手術,78609B,睪丸惡性腫瘤高位切除術,5064,radical orchiectomy inguinal 睪丸癌,,
手術,睪丸/副睪手術,78610B,睪丸惡性腫瘤高位切除術併後腹腔淋巴切除術,14576,radical orchiectomy RPLND,,
手術,睪丸/副睪手術,78611C,腹腔鏡睪丸切除術,4040,laparoscopic orchiectomy,,
手術,睪丸/副睪手術,78612C,隱睪雙側睪丸固定術,20283,orchiopexy cryptorchidism 隱睪 雙側,,
手術,睪丸/副睪手術,78801C,副睪丸切除術－單側,5903,epididymectomy,,
手術,睪丸/副睪手術,78802B,副睪丸切除術－雙側,8230,,,
手術,睪丸/副睪手術,78803B,輸精管副睪丸吻合術－單側,8568,vasoepididymostomy VE,,
手術,睪丸/副睪手術,78804B,輸精管副睪丸吻合術－雙側,10802,,,
手術,睪丸/副睪手術,78805C,副睪丸膿瘍切開引流,3021,epididymal abscess,,
手術,輸精管/精索手術,79001C,輸精管切開單側或雙側,2693,vasectomy 結紮 男性結紮 輸精管結紮,,輸精管切除比照申報。
手術,輸精管/精索手術,79002B,精囊全摘除術,8431,,,
手術,輸精管/精索手術,79201C,精索切除,3243,,,
手術,輸精管/精索手術,79202B,精索靜脈瘤手術,4819,varicocelectomy 精索靜脈曲張,,
手術,輸精管/精索手術,79203C,精索靜脈高位結紮術,5522,varicocelectomy high ligation Palomo 精索靜脈曲張,,
手術,輸精管/精索手術,79204C,腹腔鏡精索靜脈曲張結紮,8283,laparoscopic varicocelectomy 精索靜脈曲張,,
手術,攝護腺手術,79401C,前列腺切片－控取式,1841,prostate biopsy needle 攝護腺切片,,
手術,攝護腺手術,79402C,前列腺切片－切開式,3504,,,
手術,攝護腺手術,79403B,攝護腺癌根除性攝護腺切除術,26050,RP radical prostatectomy 攝護腺癌,,含精囊摘除術(includingvesiculectomy)。
手術,攝護腺手術,79404B,被膜下前列腺切除術,9114,suprapubic prostatectomy open prostatectomy,,前列腺結石切除術比照申報。
手術,攝護腺手術,79405B,恥骨下前列腺切除術,11011,retropubic prostatectomy,,
手術,攝護腺手術,79406B,經尿道攝護腺切除術--切除之攝護腺重量五至十五公克,11055,TURP 攝護腺刮除 電刮 BPH 攝護腺肥大,依「切除之攝護腺重量」分為 79406B(5–15g)／79411B(15–50g)／79412B(>50g) 三個級距，同次手術只能擇一申報，不可合併申報。,"1.含supra-pubicirrigation,sounding,urethrotomy。2.一般材料費及單次使用電燒切除環、切割電極，得另加計百分之七十九。"
手術,攝護腺手術,79407C,經尿道切片術,4242,TUR biopsy,,
手術,攝護腺手術,79408C,前列腺膿瘍切開引流,3829,prostatic abscess,,
手術,攝護腺手術,79409C,經腹腔前列腺囊腫切除術,3156,,,
手術,攝護腺手術,79410B,攝護腺癌根除性攝護腺切除術併雙側骨盆腔淋巴切除術,31171,RP PLND radical prostatectomy,,
手術,攝護腺手術,79411B,經尿道攝護腺切除術--切除之攝護腺重量十五至五十公克,13210,TURP 攝護腺刮除 電刮 BPH 攝護腺肥大,依切除攝護腺重量擇一申報，見 79406B 的提醒；請勿與 79406B、79412B 同次併報。,"1.含supra-pubicirrigation,sounding,urethrotomy。2.一般材料費及單次使用電燒切除環、切割電極，得另加計百分之七十五。"
手術,攝護腺手術,79412B,經尿道攝護腺切除術--切除之攝護腺重量大於五十公克,15236,TURP 攝護腺刮除 電刮 BPH 攝護腺肥大,依切除攝護腺重量擇一申報，見 79406B 的提醒；請勿與 79406B、79411B 同次併報。,1.含supra-pubicirrigation，sounding，urethrotomy。2.一般材料費及單次使用電燒切除術、切割電極，得另加計百分之七十二。
手術,攝護腺手術,79413B,雙極前列腺刮除術/汽化術－切除之攝護腺重量五至十五公克,11759,bipolar TURP TUVP B-TURP PKRP 雙極 汽化 BPH,雙極 TURP/TUVP 依切除重量分為 79413B(5–15g)／79414B(15–50g)／79415B(>50g) 三個級距，同次手術只能擇一申報。,註：內含一般材料及雙極TURP/TUVP特材，得另加計142%
手術,攝護腺手術,79414B,雙極前列腺刮除術/汽化術－切除之攝護腺重量十五至五十公克,13914,bipolar TURP TUVP B-TURP PKRP 雙極 汽化 BPH,雙極 TURP/TUVP 依重量擇一申報，見 79413B 的提醒。,註：內含一般材料及雙極TURP/TUVP特材，得另加計128%
手術,攝護腺手術,79415B,雙極前列腺刮除術/汽化術－切除之攝護腺重量大於五十公克,15940,bipolar TURP TUVP B-TURP PKRP 雙極 汽化 BPH,雙極 TURP/TUVP 依重量擇一申報，見 79413B 的提醒。,註：內含一般材料及雙極TURP/TUVP特材，得另加計119%
手術,攝護腺手術,79416C,前列腺切片-超音波導引,3167,TRUS biopsy prostate biopsy 攝護腺切片 超音波導引,,1.限泌尿科專科醫師執行。2.不得同時申報編號79401C及19017C。3.一般材料費，得另加計百分之十七。
手術,攝護腺手術,79417B,腹腔鏡攝護腺癌根除性攝護腺切除術併雙側骨盆腔淋巴切除術,46756,LRP laparoscopic radical prostatectomy 腹腔鏡攝護腺根除 機械手臂 達文西 robotic,機械手臂輔助手術的醫師資格規定已於 115.09.01 生效版更新：不再是「訓練達二十小時」即可自行認定，而是須取得「機械手臂輔助手術系統」相關專科學會核發的認證醫師資格，且核發單位要檢附認證計畫書送保險人審核通過，執行醫師名單也須報請保險人核定。請確認貴院執行醫師是否已符合新規定，詳見上方支付規範。 ,執行「機械手臂輔助根治性前列腺切除術」，須符合下列規範：1.醫師資格：(1)具機械手臂輔助手術系統「泌尿科」認證學會認證醫師資格。(2)前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認證方式及認證培訓機構證明)予保險人審核通過。2.執行手術之醫師名單應報經保險人核定。3.其手術費按保險人規範之未列項申報方式辦理，比照本項申報，並應於申報費用後二個月內上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
手術,攝護腺手術,N20002,綠光雷射前列腺氣化術,,PVP GreenLight 綠光 雷射 BPH,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,HTA評估診療項目
手術,攝護腺手術,N20003,銩雷射前列腺氣化切除術,,ThuLEP ThuVARP thulium 銩雷射 BPH,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,HTA評估診療項目
手術,攝護腺手術,N20004,鈥雷射前列腺氣化切除術,,HoLEP holmium 鈥雷射 BPH,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,HTA評估診療項目
手術,攝護腺手術,N20005,二極體雷射攝護腺挖除術,,DiLEP diode laser 二極體雷射 BPH,此為 HTA 評估項目（技術評估／專案性質），非常態健保給付代碼，實際給付條件、可否申報與比照方式，請務必洽醫院個案管理或健保署最新公告確認，勿逕行比照一般代碼申報。,HTA評估診療項目
手術,小兒泌尿,88022B,膀胱外翻關閉術,46601,bladder exstrophy,,
手術,小兒泌尿,88028B,尿道下裂島皮瓣尿道整型術,28371,hypospadias island flap 尿道下裂,,
手術,小兒泌尿,88031B,矯正尿道纖維黏連,18551,,,
手術,小兒泌尿,88034B,臍尿管或瘻管切除,12825,,,
手術,小兒泌尿,88029C,嬰兒鼠蹊疝氣,14379,pediatric inguinal hernia herniotomy 小兒疝氣,,限對未滿二歲嬰兒施行手術時申報。
手術,鼠蹊疝氣,75607C,鼠蹊疝氣修補術－無腸切除,11292,inguinal hernia herniorrhaphy 疝氣 mesh,,本項102年支付標準調整按衛生福利部1031260015號函公告。
手術,鼠蹊疝氣,75613C,鼠蹊疝氣修補術，嵌頓性－無腸切除,12890,,,
手術,鼠蹊疝氣,75614C,鼠蹊疝氣修補術，復發性－無腸切除,12565,,,本項102年支付標準調整按衛生福利部1031260015號函公告。
手術,鼠蹊疝氣,75615C,股疝氣修補術－無腸切除,13921,,,
手術,鼠蹊疝氣,75610B,腹腔鏡疝氣修補術,12422,laparoscopic hernia TEP TAPP,,
手術,鼠蹊疝氣,75619C,腹腔鏡鼠蹊疝氣修補術－無腸切除,19987,laparoscopic inguinal hernia TEP TAPP 腹腔鏡疝氣,,註：執行「機械手臂輔助鼠蹊疝氣修補術-併腸切除」、「機械手臂輔助鼠蹊疝氣修補術-無腸切除」須符合下列規範：1.須符合下列專科別限制及執行醫師訓練規範：(1)具有外科、泌尿科專科醫師資格。(2)具機械手臂輔助手術系統訓練資格醫師認證(包括系統練習或操作達二十小時)。(3)前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認證方式及認證培訓機構證明)予保險人審核通過。2.執行手術之醫師名單應報經保險人核定。3.其手術費按保險人規範之未列項申報方式辦理，分別比照75618B、75619C申報，並於申報費用後二個月內應上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
手術,鼠蹊疝氣,75623C,腹腔鏡鼠蹊疝氣修補術，嵌頓性－無腸切除,21125,laparoscopic inguinal hernia incarcerated 嵌頓性 腹腔鏡疝氣 機械手臂 達文西 robotic,機械手臂輔助手術的醫師資格規定已於 115.09.01 生效版更新：不再是「訓練達二十小時」即可自行認定，而是須取得「機械手臂輔助手術系統」相關專科學會核發的認證醫師資格，且核發單位要檢附認證計畫書送保險人審核通過，執行醫師名單也須報請保險人核定。請確認貴院執行醫師是否已符合新規定，詳見上方支付規範。 ,執行「機械手臂輔助鼠蹊疝氣修補術，嵌頓性-無腸切除」，須符合下列規範：1.醫師資格：(1)具機械手臂輔助手術系統「消化外科」、「泌尿科」認證學會認證醫師資格。(2)前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認證方式及認證培訓機構證明)予保險人審核通過。2.執行手術之醫師名單應報經保險人核定。3.其手術費按保險人規範之未列項申報方式辦理，比照本項申報，並於申報費用後二個月內應上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
手術,鼠蹊疝氣,75624C,腹腔鏡鼠蹊疝氣修補術，復發性－無腸切除,22239,laparoscopic inguinal hernia recurrent 復發性 腹腔鏡疝氣 機械手臂 達文西 robotic,機械手臂輔助手術的醫師資格規定已於 115.09.01 生效版更新：不再是「訓練達二十小時」即可自行認定，而是須取得「機械手臂輔助手術系統」相關專科學會核發的認證醫師資格，且核發單位要檢附認證計畫書送保險人審核通過，執行醫師名單也須報請保險人核定。請確認貴院執行醫師是否已符合新規定，詳見上方支付規範。 ,執行「機械手臂輔助鼠蹊疝氣修補術，復發性-無腸切除」，須符合下列規範：1.醫師資格：(1)具機械手臂輔助手術系統「消化外科」、「泌尿科」認證學會認證醫師資格。(2)前述核發認證單位應檢附認證計畫書(須檢附訓練課程、認證方式及認證培訓機構證明)予保險人審核通過。2.執行手術之醫師名單應報經保險人核定。3.其手術費按保險人規範之未列項申報方式辦理，比照本項申報，並於申報費用後二個月內應上傳手術相關資訊，未上傳者本項不予支付；惟因特殊情形未在規定期限內完成上傳，可檢具理由後補登錄。
